"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"39235","North Africa","April 14, 2014","2014","Apr","10","0","10","309","","","","Hyperthermia","Sudanese-Libyan desert","Agence France Presse","23.311200000000, 21.856900000000","","http://reliefweb.int/report/sudan/10-migrants-die-hundreds-rescued-sudan-libya-desert","Northern Africa","1"
"39286","US-Mexico Border","April 14, 2014","2014","Apr","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39285","US-Mexico Border","April 14, 2014","2014","Apr","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39284","US-Mexico Border","April 14, 2014","2014","Apr","1","","1","","","1","","Unknown","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39282","US-Mexico Border","April 10, 2014","2014","Apr","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39283","US-Mexico Border","April 10, 2014","2014","Apr","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39406","Mediterranean","April 09, 2014","2014","Apr","1","0","1","661","","","","Unknown","Italy waters","Deutsche Welle","35.109200000000, 13.623000000000","Central Mediterranean","http://bit.ly/1okLaA1","Uncategorized","1"
"39385","Sub-Saharan Africa","April 09, 2014","2014","Apr","17","0","17","0","","","","Drowning","Limpopo River, Zimbabwe","AllAfrica","-23.814800000000, 32.488400000000","","http://bit.ly/1z57Bim","Eastern Africa","1"
"39215","US-Mexico Border","April 02, 2014","2014","Apr","1","","1","","","1","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39280","US-Mexico Border","March 30, 2014","2014","Mar","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
