"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"39424","Mediterranean","July 21, 2014","2014","Jul","5","14","19","61","","","","Drowning","South of Sicily ","Malta Today ","36.355700000000, 14.084500000000","Central Mediterranean","http://bit.ly/1kPk5Bh","Uncategorized","1"
"39392","Mediterranean","July 19, 2014","2014","Jul","","151","151","","","","","Drowning","","Voice of America","34.553128400000, 18.048010500000","Central Mediterranean","http://bit.ly/1lGMVUD","","1"
"39423","Mediterranean","July 19, 2014","2014","Jul","3","0","3","104","","","","Drowning","Off the Libyan coast, northeast of Tripoli","World Bulletin ","33.444200000000, 14.238300000000","Central Mediterranean","http://bit.ly/1mJh3OD","Uncategorized","1"
"39365","Mediterranean","July 19, 2014","2014","Jul","2","53","55","1","","","","Drowning","off the coast of Kafr el-Sheikh governorate, Egypt","Zee News ","31.581800000000, 30.671100000000","Central Mediterranean","http://bit.ly/1rDmowj","Uncategorized","1"
"39393","Mediterranean","July 19, 2014","2014","Jul","29","","29","569","","","1","Violence, Asphyxiation, Drowning","Between Libya and Malta","Voice of America","34.582100000000, 14.216300000000","Central Mediterranean","http://www.voanews.com/content/scores-of-migrants-murdered-on-smuggler-boat/1965217.html","Uncategorized","1"
"39422","Mediterranean","July 17, 2014","2014","Jul","3","0","3","90","","","","Drowning","Just off the coast of Garabulli, Libya","Al-Arab Online ","32.834300000000, 13.719200000000","Central Mediterranean","http://bit.ly/1zPFO5S","Uncategorized","1"
"39391","Mediterranean","July 17, 2014","2014","Jul","","41","41","61","","","","Drowning","30 miles off the coast of Tripoli, Libya","The Daily Star","33.242300000000, 13.120400000000","Central Mediterranean","http://bit.ly/1sqWRpz","Uncategorized","1"
"39326","US-Mexico Border","July 17, 2014","2014","Jul","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39381","Southeast Asia","July 15, 2014","2014","Jul","2","18","20","60","","","","Drowning","Off the southwest coast of Malaysia","BBC ","6.353060000000, 115.291000000000","","http://bbc.in/U7rVik","South-eastern Asia","1"
"39421","Mediterranean","July 14, 2014","2014","Jul","1","109","110","12","1","","","Drowning","40 miles off the coast of Libya","UNHCR","33.656400000000, 14.589800000000","Central Mediterranean","http://bit.ly/1sWPpWs","Uncategorized","4"
"39325","US-Mexico Border","July 13, 2014","2014","Jul","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39420","Mediterranean","July 12, 2014","2014","Jul","12","","12","","","","","Drowning","Bodies found on coast near Tripoli, Libya","IANS","32.951100000000, 13.204200000000","Central Mediterranean","http://bit.ly/1owlyg0","Uncategorized","1"
"39419","Mediterranean","July 11, 2014","2014","Jul","4","21","25","13","1","2","1","Drowning","Aegean Sea","Greek Reporter ","37.862031000000, 26.921962000000","Eastern Mediterranean","http://bit.ly/2akKh88","Uncategorized","1"
"39324","US-Mexico Border","July 07, 2014","2014","Jul","1","","1","","","","","Unknown","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39323","Central America","July 07, 2014","2014","Jul","1","","1","","","1","","Train Accident","Coatzacoalcos, Veracruz, Mexico","Noticias de Mexico","18.130861000000, -94.503962000000","Central America to US","http://bit.ly/1TKFKxF","Central America","1"
"39364","Mediterranean","July 06, 2014","2014","Jul","12","188","200","0","1","","2","Drowning","Off the coast of Tripoli (capsized boat)","Reuters ","32.961500000000, 13.088800000000","Central Mediterranean","http://bit.ly/1tj27A3","Uncategorized","1"
"39322","US-Mexico Border","July 05, 2014","2014","Jul","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39417","Mediterranean","July 05, 2014","2014","Jul","13","","13","","","","","Unknown","Boat drifting in Libyan waters","IANS","33.033500000000, 15.293000000000","Central Mediterranean","http://bit.ly/1owlyg0","Uncategorized","1"
"39321","US-Mexico Border","July 02, 2014","2014","Jul","1","","1","","","1","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39320","US-Mexico Border","July 02, 2014","2014","Jul","1","","1","","","","","Hyperthermia","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39416","Mediterranean","July 01, 2014","2014","Jul","","75","75","27","","","","Drowning","Recued off Sicily; taken to Catania, Sicily","Yahoo! News ","36.431700000000, 15.831300000000","Central Mediterranean","http://yhoo.it/VJXUqq","Uncategorized","1"
"39319","US-Mexico Border","July 01, 2014","2014","Jul","1","","1","","","1","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39414","Mediterranean","June 29, 2014","2014","Jun","45","","45","566","","45","","Crushed, Asphyxiation","Unspecified location between North Africa and Italy. Survivors taken to Pozzallo","Oman Daily Observer ","36.222841000000, 14.688719000000","Central Mediterranean","http://bit.ly/1s1NEnD","Uncategorized","1"
"39390","Mediterranean","June 29, 2014","2014","Jun","2","4","6","","","4","","Drowning","Unspecified location between North Africa and Italy. Survivors taken to Porto Empedocle in Sicily.","Yahoo! News ","36.183800000000, 12.623300000000","Central Mediterranean","https://au.news.yahoo.com/world/a/24373313/80-more-migrants-drown-in-latest-italy-boat-tragedy/","Uncategorized","1"
"39318","US-Mexico Border","June 28, 2014","2014","Jun","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39241","Mediterranean","June 27, 2014","2014","Jun","","240","240","0","","","","Drowning","TBC - boat went missing, not recovered ","IOM Rome Office - Flavio Di Giacomo ","34.603300000000, 16.875000000000","Central Mediterranean","","Uncategorized","4"
"39317","US-Mexico Border","June 25, 2014","2014","Jun","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39315","US-Mexico Border","June 19, 2014","2014","Jun","1","","1","","","1","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39316","US-Mexico Border","June 19, 2014","2014","Jun","1","","1","","","1","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39380","Southeast Asia","June 18, 2014","2014","Jun","9","26","35","62","1","8","1","Drowning","Coast of Malaysia - Strait of Malacca","The World Post (Huffington and BIG) ","4.662590000000, 99.545100000000","","http://huff.to/1ygPxkU","South-eastern Asia","1"
"39413","Mediterranean","June 18, 2014","2014","Jun","4","0","4","0","","","","Violence","Morocco/Spain border near Melilla","L'Espresso ","35.278300000000, -2.962190000000","Western Mediterranean","http://bit.ly/U4b8wu","Uncategorized","1"
"39314","US-Mexico Border","June 18, 2014","2014","Jun","1","","1","","","1","","Hyperthermia","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39313","US-Mexico Border","June 17, 2014","2014","Jun","1","","1","","","","","Unknown","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39412","North Africa","June 16, 2014","2014","Jun","","29","29","","","","","Drowning","Between North Africa and Canary Islands","La Vanguardia","28.348645000000, -12.654538000000","Western African","http://bit.ly/28IfW7F","Northern Africa","1"
"39357","Mediterranean","June 15, 2014","2014","Jun","1","0","1","356","","","","Unknown","Central Med Route - Sicily ","BBC ","35.906100000000, 12.475000000000","Central Mediterranean","http://bbc.in/V7Onc6","Uncategorized","1"
"39312","US-Mexico Border","June 14, 2014","2014","Jun","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39311","US-Mexico Border","June 14, 2014","2014","Jun","1","","1","","","1","","Hyperthermia","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39411","Mediterranean","June 14, 2014","2014","Jun","10","0","10","39","","","","Drowning","Between Libya and Sicily","Reuters","34.277500000000, 14.633800000000","Central Mediterranean","http://reut.rs/1qNxMVT","Uncategorized","1"
"39310","US-Mexico Border","June 13, 2014","2014","Jun","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
