"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"43028","Mediterranean","March 02, 2016","2016","Mar","1","","1","","","1","1","Asphyxiation","Mytilene, Lesvos ","IOM Greece","39.097108100000, 26.547693300000","Eastern Mediterranean","","Uncategorized","4"
"42920","US-Mexico Border","March 01, 2016","2016","Mar","1","","1","","","1","","Unknown (skeletal remains)","Pima County Jurisdiction","Pima County Office of the Medical Examiner","31.965203600000, -113.011894500000","Central America to US","http://www.humaneborders.info/app/map.asp","Northern America","5"
"43031","Horn of Africa","March 01, 2016","2016","Mar","4","","4","","","","","Drowning","Straits of Yemen","UNHCR","12.433975800000, 46.420758400000","Horn Africa to Yemen","","Eastern Africa","4"
"43139","North Africa","March 01, 2016","2016","Mar","2","","2","","","","","Sickness and lack of access to medicines","At the desert, two days drive from khartoum, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","15.350333700000, 32.437494900000","","","Northern Africa","2"
"43188","North Africa","March 01, 2016","2016","Mar","1","","1","","","","","Vehicle Accident","Sahara Desert, between Khartoum, Sudan and Tripoli, Libya","MHub","19.643823700000, 24.429326800000","","","Northern Africa","2"
"44471","North Africa","February 29, 2016","2016","Feb","3","","3","","","","","Crushed in back of truck","Bani Walid, Libya","MHub","31.685465887849, 14.053676000000","","","Northern Africa","2"
"44474","North Africa","February 29, 2016","2016","Feb","1","","1","","","","","Violence","Tripoli, Libya","MHub","32.869909578058, 13.202324628125","","","Northern Africa","2"
"44691","North Africa","February 29, 2016","2016","Feb","1","","1","","","","","Dehydration","Sahara Desert, between Guerrara, Algeria and Subratha, Libya","MHub","32.435246183556, 7.711646513256","","","Northern Africa","2"
"42422","US-Mexico Border","February 28, 2016","2016","Feb","1","","1","","","1","","Drowning","Rio Grande near Reynosa Diaz, Reynosa, Tamaulipas, Mexico","La Prensa Grafica","26.041738400000, -98.308436400000","Central America to US","http://bit.ly/1RJAycg","Central America","1"
"42556","Middle East","February 28, 2016","2016","Feb","1","","1","","1","","","Sickness and lack of access to medicines","Syrian/Turkish border near northern Deir Ezzor province","Syrian Observatory for Human Rights","36.718882500000, 39.488952400000","","http://bit.ly/28Nnkxe","Western Asia","4"
