"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"44837","Europe","June 03, 2018","2018","Jun","1","","1","","","1","","Drowning","Kolpa/Kupa river, near Gornje Prilišće, Croatia","KaPortal.hr, 24 sata, Radio Mreznica, Tportal","45.460205800000, 15.345347900000","Western Balkans","https://bit.ly/2stjcuW, https://bit.ly/2swzVO9, https://bit.ly/2LWNizs","Southern Europe","3"
"44834","Mediterranean","June 03, 2018","2018","Jun","9","1","10","5","1","2","6","Drowning","Off the coast of Kekova Geyikova island, near Demre district, Antalya province, Turkey","Turkish Coast Guard, Daily Sabah","36.159498189650, 29.870973380859","Eastern Mediterranean","https://bit.ly/2kOerZ0, https://bit.ly/2JsSYm9","Uncategorized","5"
"44902","Mediterranean","June 03, 2018","2018","Jun","1","","1","","","1","","Drowning","Body recovered on Plage Sidi Rihane, near Aokas, Béjaïa - east of Algiers, Algeria","La Dépêche de Kabylie","36.641705615056, 5.245392575671","Central Mediterranean","https://bit.ly/2trpRpc","Northern Africa","1"
"44864","US-Mexico Border","June 03, 2018","2018","Jun","1","","1","","","1","","Drowning","Tijuana beach, near US-Mexico border fence, Baja California, Mexico","El Sol de Tijuana, Debate","32.534237188302, -117.123799419950","","https://bit.ly/2LujLvZ, https://bit.ly/2HrxCAK","Central America","3"
"44863","Central America","June 02, 2018","2018","Jun","1","","1","","","1","","Hit by vehicle","KM 285 of Carretera Transístmica, between Juchitán and Tehuantepec, Oaxaca, Mexico","NVI Noticias, El Tiempo","16.385363081542, -95.129236399219","","https://bit.ly/2xMU1Zv, https://bit.ly/2sHYoPR","Central America","3"
"44836","Mediterranean","June 02, 2018","2018","Jun","2","","2","","1","1","","Drowning","Bodies recovered on beach in Tangiers, Morocco","Asociación Pro Derechos Humanos de Andalucía","35.795396210661, -5.834297622754","Western Mediterranean","https://bit.ly/2kKFUKT, https://bit.ly/2HjpRwy","Uncategorized","3"
"44835","Mediterranean","June 02, 2018","2018","Jun","","1","1","41","","1","","Presumed drowning","Alboran Sea between Morocco and Spain","Salvamento Marítimo","35.698609483239, -4.792843715625","Western Mediterranean","https://bit.ly/2sDFl9f","Uncategorized","5"
"45737","US-Mexico Border","June 02, 2018","2018","Jun","1","","1","","","","","Drowning","All-American Canal, Calexico, Imperial County, California, USA","Consulado de México en Calexico","32.705263791607, -115.166427452390","","","Northern America","5"
"44833","Mediterranean","June 02, 2018","2018","Jun","84","28","112","68","6","6","","Drowning","Off Kerkennah Island, Sfax, Tunisia","IOM Tunisia","34.874223027787, 11.536226212500","Central Mediterranean","","Uncategorized","4"
"44919","US-Mexico Border","June 01, 2018","2018","Jun","1","","1","","","","","Presumed drowning","Río Bravo near 509 Felix Martinez, Los Ébanos, Hidalgo County, Texas, USA","US Border Patrol","26.243405100000, -98.561688500000","","https://bit.ly/2Jfdfbu","Northern America","5"
"45769","US-Mexico Border","May 31, 2018","2018","May","1","","1","","","1","","Presumed drowning","Río Bravo, near Military Road, Peñitas, Hidalgo County, Texas, USA","Hidalgo County Sheriff's Office","26.223264873057, -98.449928238098","","","Northern America","5"
"44861","US-Mexico Border","May 29, 2018","2018","May","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.650171900000, -111.989676600000","","http://humaneborders.info/","Northern America","5"
"44862","US-Mexico Border","May 29, 2018","2018","May","1","","1","","","1","","Probable hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.977172300000, -111.275046800000","","http://humaneborders.info/","Northern America","5"
"44832","Mediterranean","May 29, 2018","2018","May","1","1","2","3","","","","Drowning","Gibraltar Strait, 24 nautical miles south-west of Tarifa, Spain","Salvamento Marítimo, Caminando Fronteras","35.974321453972, -5.631915520313","Western Mediterranean","https://bit.ly/2sgJvVk, https://bit.ly/2GWxKrD","Uncategorized","5"
"44901","Middle East","May 28, 2018","2018","May","2","","2","","2","","1","Drowning","Evros/Meriç river, near Gemici, Edirne, Turkey","IOM Turkey, Kronos Haber","41.326211684825, 26.567142067708","","https://bit.ly/2sLDlwq, https://bit.ly/2HEOTWX","Western Asia","4"
