"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"40647","Sub-Saharan Africa","December 31, 2015","2015","Dec","","1","1","11","1","","1","Sickness and lack of access to medicines","Beitbridge border crossing, Zimbabwe","The Herald","-22.216669000000, 29.999997000000","","http://bit.ly/1nxBG8K","Eastern Africa","1"
"40711","Horn of Africa","December 31, 2015","2015","Dec","1","","1","","","","","Shot, Stabbed","Tuulo Barwaaqo, Somalia","Mixed Migration Monitoring Mechanism Initiative (4Mi)","5.152149000000, 46.199616000000","","","Eastern Africa","2"
"44613","North Africa","December 31, 2015","2015","Dec","4","","4","","","","","Shot","Sabha, Libya","MHub","27.497970695535, 14.518288600658","","","Northern Africa","2"
"40754","Horn of Africa","December 31, 2015","2015","Dec","1","","1","","","","","Sickness and lack of access to medicines","Hosingow, Somalia","Mixed Migration Monitoring Mechanism Initiative (4Mi)","-0.023376000000, 41.314087000000","","","Eastern Africa","2"
"40710","Horn of Africa","December 31, 2015","2015","Dec","1","","1","","","","","Shot, Stabbed","Mogadishu, Somalia","Mixed Migration Monitoring Mechanism Initiative (4Mi)","2.075684000000, 45.353088000000","","","Eastern Africa","2"
"40562","Caribbean","December 31, 2015","2015","Dec","5","","5","","","2","","Drowning","At sea, between Venezula and Curaçao","New York Times","11.724210000000, -68.689230000000","Venezuela to Curaçao","http://nyti.ms/2gOqzFn","","1"
"40652","US-Mexico Border","December 31, 2015","2015","Dec","126","","126","","","","","Mixed","Texas","Texas county sheriffs and medical examiners","29.819327526614, -101.132281850000","Central America to US","","Northern America","5"
"40638","Europe","December 31, 2015","2015","Dec","2","","2","","","2","","Hypothermia","Bulgaria","Whales Online","43.080295000000, 23.703613000000","","http://bit.ly/2oi2c7M","Eastern Europe","1"
"40531","Mediterranean","December 30, 2015","2015","Dec","7","","7","","","","","Drowning","Bodies recovered near Zarzis or Ben Gardane, Tunisia","IOM Tunisia","33.547016000000, 11.098013000000","Central Mediterranean","","Uncategorized","4"
"40530","Mediterranean","December 30, 2015","2015","Dec","2","","2","","1","1","","Drowning","Found on Samos Island, Greece","Hellenic Coast Guard, via IOM Athens ","37.757877000000, 27.028391000000","Eastern Mediterranean","http://www.hcg.gr/node/11750, http://www.hcg.gr/node/11751","Uncategorized","5"
